"SL.No.","District","AC","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","No. of Households not having toilet during BLS-2012 (BPL)","No. of Households not having toilet during BLS-2012 (APL -Identified)","No. of Households not having toilet during BLS-2012 (APL â€“ UnIdentified)","No. of Households not having toilet during BLS-2012 (APL Total)","No. of Households not having toilet during BLS-2012 (Total BPL + APL)","No. of Households not having toilet during BLS-2012 (Total HH Identified)","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"KHAGARIA","ALAULI ","ALAULI ",4140,1948,148,1647,1795,3743,2096,0,18,18,8
2,"KHAGARIA","ALAULI ","AMBA ICHARUA ",2104,688,427,220,647,1335,1115,0,25,25,4
3,"KHAGARIA","ALAULI ","ANANDPUR MARAN ",3648,1633,431,1584,2015,3648,2064,0,0,0,0
4,"KHAGARIA","ALAULI ","BAHADURPUR ",3481,1536,388,1136,1524,3060,1924,0,6,6,0
5,"KHAGARIA","ALAULI ","BANDH CHATAR ",2600,1062,5,888,893,1955,1067,0,6,6,0
6,"KHAGARIA","ALAULI ","BHIKHARIGHAT ",2643,1691,27,563,590,2281,1718,0,0,0,0
7,"KHAGARIA","ALAULI ","CHANDPURA KHURD ",2943,1401,26,1393,1419,2820,1427,0,4,4,0
8,"KHAGARIA","ALAULI ","CHERAKHERA ",3078,2154,5,919,924,3078,2159,0,5,5,8
9,"KHAGARIA","ALAULI ","CHHILKOURI ",2434,1006,0,915,915,1921,1006,0,1,1,0
10,"KHAGARIA","ALAULI ","DAHMA KHAIRI KHUTHA ",3072,1316,410,1009,1419,2735,1726,0,0,0,0
11,"KHAGARIA","ALAULI ","GORIYAMI ",3098,1655,48,1082,1130,2785,1703,0,3,3,0
12,"KHAGARIA","ALAULI ","GOURACHAK ",3522,1046,79,1373,1452,2498,1125,0,0,0,0
13,"KHAGARIA","ALAULI ","HARIPUR ",2730,905,65,901,966,1871,970,0,21,21,0
14,"KHAGARIA","ALAULI ","HATHWAN ",2511,1523,46,942,988,2511,1569,0,3,3,0
15,"KHAGARIA","ALAULI ","MEGHAUNA ",2796,1436,84,1006,1090,2526,1520,0,4,4,0
16,"KHAGARIA","ALAULI ","RAMPUR ALLOULI ",2905,1952,56,768,824,2776,2008,0,21,21,0
17,"KHAGARIA","ALAULI ","ROUN ",1607,1177,22,300,322,1499,1199,0,21,21,0
18,"KHAGARIA","ALAULI ","SAHSI ",1499,973,1,359,360,1333,974,0,22,22,0
19,"KHAGARIA","ALAULI ","SHAHARBANI ",1434,379,62,751,813,1192,441,0,0,0,0
20,"KHAGARIA","ALAULI ","SHUMBHA ",1854,1076,16,578,594,1670,1092,0,2,2,0
21,"KHAGARIA","ALAULI ","SIMRAHA ",3119,779,91,1131,1222,2001,870,0,0,0,0
