"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)","Total (BPL+APL)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BALAITHA ",2769,1273,97,1324,1421,2694,1370,0,0,0,0
2,"BELA NAWAD ",2805,471,1114,628,1742,2213,1585,0,0,0,0
3,"BELDOUR ",5132,2547,325,1248,1573,4120,2872,0,47,47,17
4,"BOBIL ",2572,835,223,808,1031,1866,1058,0,0,0,0
5,"CHODHLI ",2434,2143,16,275,291,2434,2159,0,0,0,0
6,"DIGHAUN ",2670,1070,32,1157,1189,2259,1102,0,0,0,0
7,"DUMARI ",2196,1468,10,121,131,1599,1478,0,0,0,0
8,"ITMADI ",2453,1784,0,180,180,1964,1784,0,0,0,0
9,"KANJARI ",1714,500,392,355,747,1247,892,0,0,0,0
10,"KURWAN ",2179,654,140,259,399,1053,794,0,0,0,0
11,"MAHINATH NAGAR ",2321,814,504,275,779,1593,1318,0,0,0,0
12,"MALLI ",2929,1886,627,358,985,2871,2513,0,0,0,0
13,"PACHAUT ",2615,810,484,626,1110,1920,1294,0,0,0,2
14,"PIRNAGARA ",1703,783,13,129,142,925,796,0,0,0,0
15,"SAKAROHAR ",2395,900,222,586,808,1708,1122,0,0,0,0
16,"TELIHAR ",2625,1968,1,70,71,2039,1969,0,0,0,0
