"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"AKAUR",3344,1670,1100,5,1105,2775,2770,0,0,0,0
2,"ARER (N)",4595,1378,689,0,689,2067,2067,0,3,3,0
3,"ARER (S)",0,0,0,0,0,0,0,0,0,0,0
4,"BANKATA",2594,1272,1061,0,1061,2333,2333,0,273,280,7
5,"BARHAMPURA",2571,1640,0,667,667,2307,1640,0,0,0,0
6,"BARRI",2394,1278,881,0,881,2159,2159,0,0,9,9
7,"BASAITHA",3531,1654,1495,26,1521,3175,3149,0,0,0,0
8,"BEHTA",2467,1189,905,125,1030,2219,2094,0,12,18,6
9,"BENIPATTI",2351,1217,754,143,897,2114,1971,0,0,41,41
10,"BETAUNA",2896,1076,1526,3,1529,2605,2602,0,6,13,7
11,"BISHANPUR",3018,1653,1042,16,1058,2711,2695,0,6,26,20
12,"DHAKJARI",2399,1219,938,0,938,2157,2157,0,55,58,3
13,"DHANGA",2450,1431,581,190,771,2202,2012,0,23,157,134
14,"GANGULI",3967,2509,188,863,1051,3560,2697,0,19,38,19
15,"KAPASIA",1936,1052,687,3,690,1742,1739,0,0,23,23
16,"KARHARA",3104,1860,922,9,931,2791,2782,0,0,14,14
17,"KATAIA",2700,1786,645,0,645,2431,2431,0,1,10,9
18,"MANPAUR",2429,1324,858,0,858,2182,2182,0,4,4,0
19,"MEGHBON",2376,972,1164,5,1169,2141,2136,0,2,2,0
20,"MOHAMADPUR",2114,504,1157,246,1403,1907,1661,0,9,9,0
21,"MURETH",1679,1504,2,0,2,1506,1506,0,12,95,83
22,"NAGBAS",0,0,0,0,0,0,0,0,0,0,0
23,"NAGDAH BALAIN",2467,1754,462,1,463,2217,2216,0,0,16,16
24,"NAV KARHI",2619,1693,659,0,659,2352,2352,0,4,12,8
25,"PALI",2750,1630,808,0,808,2438,2438,0,0,23,23
26,"PARAUL",2303,1206,863,0,863,2069,2069,0,0,0,0
27,"PARJUAR",1964,647,1127,0,1127,1774,1774,0,0,9,9
28,"PARKAULI",2248,1233,789,0,789,2022,2022,0,39,43,4
29,"PARSAUNA",2226,1113,893,0,893,2006,2006,0,4,62,58
30,"SALHA",2011,1808,0,0,0,1808,1808,0,0,14,14
31,"SAMDA",2275,0,0,0,0,0,0,0,0,0,0
32,"SHAHPUR",3744,2509,860,0,860,3369,3369,0,0,0,0
33,"TYOTH",2192,1269,705,0,705,1974,1974,0,0,0,0
