"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BALNI MEHAT ",2361,1346,927,1,928,2274,2273,0,24,24,38
2,"CHANAURA GANJ ",3011,2760,220,1,221,2981,2980,0,0,0,1
3,"KAKO ",3695,2879,347,1,348,3227,3226,0,88,88,2
4,"KOTHIYA ",1707,1293,345,14,359,1652,1638,0,109,109,2
5,"LOHANA NORTH ",2291,512,1276,9,1285,1797,1788,0,38,38,1
6,"LOHANA SOUTH ",2794,2119,390,0,390,2509,2509,0,149,149,2
7,"MAHINATH PUR ",2766,2471,10,0,10,2481,2481,0,39,39,69
8,"NABANI ",2286,1478,558,13,571,2049,2036,0,67,67,30
9,"NARUAR ",2178,1052,545,50,595,1647,1597,0,193,193,12
10,"PARSA ",1019,768,118,26,144,912,886,0,70,70,12
11,"PIPRAULIA ",2815,2235,284,5,289,2524,2519,0,191,191,13
12,"RAIYAM EAST ",1354,633,212,0,212,845,845,0,156,156,25
13,"RAIYAM WEST ",2521,1992,13,34,47,2039,2005,0,68,68,3
14,"SANGRAM ",2013,1440,55,1,56,1496,1495,0,150,150,37
15,"SANT NAGAR ",2348,2091,4,10,14,2105,2095,0,13,13,33
16,"SIMRAH ",2040,1684,158,162,320,2004,1842,0,85,85,0
17,"SUKHET ",2849,1692,321,115,436,2128,2013,0,138,138,12
