SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)",Total (BPLò�),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
1,BALIA ,1649,1199,84,194,278,1477,1283,0,1,1,9
2,BEHAT NORTH ,1957,1382,301,72,373,1755,1683,0,23,23,40
3,BEHAT SOUTH ,2145,1133,435,160,595,1728,1568,0,14,14,60
4,BELAUNCHA ,2842,1428,1100,26,1126,2554,2528,0,19,19,0
5,BERMA ,1580,1128,265,24,289,1417,1393,0,14,14,0
6,DEEP EAST ,2067,1334,208,313,521,1855,1542,0,0,0,21
7,DEEP WEST ,2507,1710,429,108,537,2247,2139,0,22,22,36
8,GANGAPUR ,2680,1948,216,239,455,2403,2164,0,49,49,21
9,KACHHUA ,2111,1288,604,3,607,1895,1892,0,16,16,14
10,KACHHUVI ,2640,2119,151,94,245,2364,2270,0,22,22,28
11,KAITHINIA ,1969,1189,427,152,579,1768,1616,0,22,22,49
12,LAKHNAUR EAST ,1890,1148,548,1,549,1697,1696,0,19,19,20
13,LAKHNAUR WEST ,2913,2087,523,0,523,2610,2610,0,20,20,47
14,LAUFA ,3149,1946,880,1,881,2827,2826,0,3,3,0
15,MADANPUR ,1723,1202,271,72,343,1545,1473,0,0,0,8
16,MAIBI ,2402,1687,440,24,464,2151,2127,0,38,38,23
17,TAMURIA ,2630,2166,200,3,203,2369,2366,0,5,5,34
