"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"ANDHARA GAUR",1708,923,539,90,629,1552,1462,0,67,115,48
2,"ANDHRATHARHI (N)",2141,1355,475,0,475,1830,1830,0,2,49,47
3,"ANDHRATHARHI (S)",2044,1433,269,1,270,1703,1702,0,40,67,27
4,"DEOHAR",2036,1335,488,2,490,1825,1823,0,7,41,34
5,"DUMARA",3308,1827,1147,0,1147,2974,2974,0,28,109,81
6,"GANAULI",1925,1263,101,364,465,1728,1364,0,1,1,0
7,"GANGDWAR",2145,1362,564,0,564,1926,1926,0,4,52,48
8,"HARARI",2348,1435,673,0,673,2108,2108,0,2,43,41
9,"HARNA",2613,1995,345,0,345,2340,2340,0,10,10,0
10,"JALSAIN",2190,1642,186,135,321,1963,1828,0,28,42,14
11,"KARN PUR",1945,1248,433,0,433,1681,1681,0,0,43,43
12,"MADANA",2824,2032,501,0,501,2533,2533,0,35,35,0
13,"MAHARAIL",2368,2011,114,0,114,2125,2125,0,0,21,21
14,"MAILAM",1979,1218,240,0,240,1458,1458,0,63,101,38
15,"MARUKIYA",2201,1897,74,0,74,1971,1971,0,0,26,26
16,"NANAUR",2197,1439,387,144,531,1970,1826,0,484,512,28
17,"RAKHBARI",2215,1982,45,30,75,2057,2027,0,2,42,40
18,"SHIVA",1762,1577,0,0,0,1577,1577,0,11,18,7
