SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)",Total (BPLò�),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
1,BHARIA BISANPUR ,1737,1148,227,188,415,1563,1375,0,38,38,87
2,BHATSIMAR EAST ,2397,1437,519,204,723,2160,1956,0,0,0,17
3,BHATSIMAR WEST ,3091,2354,414,4,418,2772,2768,0,14,14,6
4,CHICHRI KANUNGO ,2434,1464,377,344,721,2185,1841,0,14,14,13
5,KAITHAHI ,2675,1247,1156,1,1157,2404,2403,0,6,6,33
6,KARAHIA EAST ,2305,1752,160,156,316,2068,1912,0,2,2,22
7,KARAHIA WEST ,2367,2117,10,5,15,2132,2127,0,15,15,12
8,KOILAKH ,2321,1677,217,187,404,2081,1894,0,80,80,34
9,MAHINATHPUR ,1805,1427,190,0,190,1617,1617,0,2,2,11
10,MANGRAUNI NORTH ,0,0,0,0,0,0,0,0,0,0,0
11,MANGRAUNI SOUTH ,4218,1194,259,405,664,1858,1453,0,35,35,5
12,PARIHARPUR ,1772,1371,222,0,222,1593,1593,0,5,5,32
13,PATWARA NORTH ,2999,1732,765,197,962,2694,2497,0,90,90,268
14,PATWARA SOUTH ,2790,1592,478,436,914,2506,2070,0,5,5,17
15,PILAKHWAR ,1534,951,420,6,426,1377,1371,0,29,29,0
16,RAGHOPUR BALATH ,1620,1031,9,415,424,1455,1040,0,55,55,24
17,RAGHUNI DEHAT ,1945,801,904,45,949,1750,1705,0,4,4,6
18,RAM PATTI ,1970,1621,101,49,150,1771,1722,0,0,0,0
19,RANTI ,2146,1283,116,528,644,1927,1399,0,25,25,1
20,SATGHARA ,2592,1948,26,368,394,2342,1974,0,110,110,157
21,SIBIPATTI ,1986,1181,527,10,537,1718,1708,0,22,22,10
22,SIMRI ,2411,1921,243,0,243,2164,2164,0,43,43,125
23,SINGION ,2110,1593,302,0,302,1895,1895,0,39,39,15
24,SUGAUNA NORTH ,2668,1964,435,0,435,2399,2399,0,21,21,11
25,SUGAUNA SOUTH ,2360,1251,702,162,864,2115,1953,0,2,2,1
